CATAID redshift SurfaceDensity CountInCyl AGEDenPar
  601282  0.05789   0.46800    4.0000   0.71800
  601283  0.05742   0.39900    3.0000   0.53900
  601299  0.05785   0.34300    4.0000   0.70900
  601300  0.07177   0.52100    0.0000   0.43600
  601323  0.05518   0.41700    2.0740   0.25900
  601325  0.05594   0.51000    2.0740   0.39500
  601488  0.05665   0.26900    0.0000   0.70600
  601534  0.06794  0.022000    0.0000   -999.90
  601539  0.05681   0.23900    0.0000   0.59900
  601567  0.06191  0.035000    1.0000   0.16900
  601575  0.06171  0.070000    0.0000   -999.90
  601606  0.05767   0.57900    0.0000   -999.90
  601605  0.05733   0.32900    0.0000   -999.90
  601625  0.07466    1.8720    2.0000   -999.90
  601628  0.07167    369.73    2.0000   -999.90
  609177  0.07354   0.54100    1.0000   -999.90
  609190  0.05130    1.4660    0.0000   -999.90
  609200  0.07376   0.49100    2.0000   -999.90
  609227  0.07856  0.081000    0.0000   -999.90
  609240  0.07787   0.26400    0.0000   0.60500
  609245  0.06742  0.043000    0.0000   -999.90
  609404  0.07833   0.18700    0.0000  0.055000
  609510  0.07762  0.072000    0.0000   0.13600
  609552  0.07770  0.080000    0.0000   0.12600
  609747  0.07775   0.27800    0.0000   0.47100
  609807  0.06271   0.10100    0.0000  0.070000
  609835  0.07046 0.0040000    0.0000   -999.90
  609883  0.06236   0.20100    0.0000  0.092000
  609875  0.07059 0.0050000    0.0000   0.17200
  609913  0.07779   0.36500    1.0000   0.41100
  609922  0.07835   0.45700    3.0000   0.56300
  609955  0.07310 0.0040000    0.0000 0.0030000
  609965  0.06195   0.42300    3.0000   0.39600
  609969  0.06008   0.22000    0.0000   0.29500
  609985  0.06566  0.055000    0.0000  0.021000
  609986  0.06115   0.24100    0.0000   0.65800
  609994  0.07981   0.99400    3.0000   0.65700
  610011  0.07753   0.55500    1.0000   0.27300
  610036  0.07895   0.63900    2.0000   0.36000
  610044  0.07783   0.38200    1.0000   0.49500
  610065  0.05198   0.15900    2.0000   0.19400
  610081  0.06200   0.12400    0.0000   0.24600
  610083  0.05217  0.061000    2.0000   0.19000
  610103  0.05257  0.044000    1.0500   0.13400
  610109  0.07987   0.62000    2.0000    1.4010
  610116  0.05191   0.14500    2.0000   0.19300
  610117  0.05215  0.075000    1.0000   0.14400
  610124  0.07965   0.90200    1.0000    1.2180
  610129  0.06641   0.16700    0.0000   0.49700
  610132  0.06720   0.28000    1.0000   0.24400
  610154  0.07954    1.0620    2.0000    1.0030
  610157  0.06130  0.084000    1.0710   0.13000
  610162  0.07960   0.86900    0.0000    1.2830
  610164  0.07896   0.96900    3.0000    1.2040
  610192  0.07937   0.56800    1.0500    1.2000
  610233  0.06268   0.16800    0.0000  0.092000
  610234  0.05234  0.075000    0.0000  0.045000
  610281  0.07814   0.77800    2.1430    2.0270
  610343  0.07800   0.57800    2.0000    1.1700
  610357  0.07730   0.67700    1.0000   0.67000
  610356  0.07056 0.0050000    1.0000   0.17600
  610359  0.07839   0.99800    3.0000    1.5080
  610369  0.07748   0.91700    3.0000    1.3290
  610388  0.07869    1.1120    3.0000    1.1480
  610400  0.07877   0.67000    1.0000    1.4790
  610438  0.07798   0.42400    1.0000   0.84500
  610471  0.07908    1.0260    3.0000    1.3570
  610480  0.06334  0.073000    1.0000   0.18700
  610485  0.06591   0.10000    2.0000   0.20200
  610509  0.07919   0.84000    0.0000    2.1800
  610521  0.06341  0.081000    1.0000   0.34800
  610545  0.07875   0.57400    1.0000   0.85000
  610572  0.07959   0.53900    1.0000    1.9030
  610629  0.07574   0.14200    0.0000  0.046000
  610672  0.06236   0.30600    0.0000   0.38200
  610695  0.06747  0.081000    0.0000 0.0070000
  610744  0.06238   0.26900    3.0000   0.45500
  610974  0.06474  0.062000    1.0710   0.21200
  611003  0.07947    1.0560    3.0000    1.7150
  611000  0.07901    1.5160    4.2350   0.94000
  611012  0.07819    1.6200    5.0000   0.23000
  611020  0.07914    1.4800    4.2860    1.7280
  611026  0.07853   0.85300    4.0000   0.38700
  748255  0.05153  0.072000    0.0000   0.27000
  611034  0.05120  0.080000    0.0000   0.21300
  611037  0.06465  0.042000    0.0000   0.16200
  611052  0.05166  0.080000    0.0000   0.23500
  611068  0.06519  0.044000    0.0000   0.11000
  611073  0.06471  0.040000    0.0000   0.13900
  611126  0.05110   0.10000    0.0000  0.084000
  611241  0.07381   0.47700    1.0000   0.64700
  611267  0.07350   0.53300    1.0000   0.71500
  611274  0.07976   0.34000    1.0530   0.54800
  611298  0.07974   0.40500    0.0000   0.56400
  611313  0.07681   0.39300    1.0000   0.30700
  611350  0.07355   0.49200    1.0000   0.72600
  611518  0.06407  0.017000    0.0000   0.11600
  611569  0.07518  0.021000    0.0000   0.29800
  611570  0.07938  0.020000    0.0000   0.14600
  611654  0.07449  0.035000    0.0000   0.25400
  611752  0.07894   0.14800    1.0620   -999.90
  611763  0.07883   0.15900    1.0620   -999.90
  611768  0.07474   0.14300    0.0000   -999.90
  611772  0.06940   0.21200    0.0000   -999.90
  611782  0.05346   0.75400    0.0000   -999.90
  611783  0.07518   0.41300    0.0000   -999.90
  611792  0.07942    1.4020    0.0000   -999.90
  617425  0.05458    101.24    1.0000   -999.90
  617429  0.05476    131.76    1.0000   -999.90
  617584  0.05417   0.43700    2.0000    1.1090
  617604  0.05405   0.40900    2.0000   0.90700
  617609  0.05405   0.62900    2.0000   0.97500
  617612  0.07275  0.013000    0.0000  0.012000
  617622  0.05395   0.58400    1.0000    1.1800
  617623  0.05390   0.97900    3.0000    1.2480
  617643  0.05108   0.15900    1.0910   -999.90
  617650  0.05950  0.013000    0.0000 0.0070000
  617693  0.05645    1.2250    1.0000   0.18900
  617696  0.05633    1.4240    3.2000   0.70600
  617732  0.05617    3.6760    7.0000   0.85400
  617736  0.05661    3.5080    7.0000   0.39400
  617767  0.05445    1.0720    3.0000    1.7660
  617935  0.05525   0.27100    0.0000    1.1410
  617939  0.05538   0.27000    1.0000    1.4070
  617975  0.07796   0.19400    1.0360   0.77700
  617986  0.07798   0.17400    0.0000   0.58900
  617989  0.05482   0.42700    0.0000    1.4600
  618085  0.05478    2.1820    7.2800    3.3410
  618084  0.05409    2.0420    9.3600    4.5240
  618100  0.05440    4.6730    15.555    4.8380
  618106  0.07828   0.21800    0.0000   0.88500
  618113  0.05470    5.5660    16.593    3.8950
  618116  0.05184    10.268    19.000   0.54700
  618126  0.05374    4.7790    16.593    4.8520
  618131  0.05400    27.357    18.214    5.1970
  618136  0.05068    14.499    13.000   0.84100
  618138  0.05088    9.7260    13.000    1.0380
  618139  0.05437    10.850    17.000    4.9690
  618133  0.05430    8.9320    17.000    4.7950
  618140  0.05457    11.596    16.000    4.4310
  618141  0.05135    25.019    17.000    1.1550
  618142  0.05104    18.046    16.000   0.83500
  618148  0.05042    15.563    11.786   0.47600
  618149  0.05453    25.385    16.071    4.9410
  618143  0.05353    13.721    17.000    4.2470
  618144  0.05425    11.852    15.000    5.0240
  618146  0.05053    11.027    11.000   0.52900
  618151  0.05115    22.769    18.000   0.89400
  618152  0.05430    8.2530    13.000    4.6560
  618155  0.07384  0.024000    0.0000   -999.90
  618156  0.05515    13.795    16.000    2.2900
  618159  0.05348    10.363    15.577    4.1290
  618165  0.05020    23.190    9.0000   0.18900
  618173  0.05258    12.818    18.000    1.4910
  618168  0.05098    9.6740    16.000    1.0960
  618177  0.05508    9.3700    17.143    2.7550
  618178  0.05393    12.237    20.769    5.2810
  618179  0.05354    19.389    18.000    4.6050
  618184  0.05134    19.674    17.000    1.1780
  618188  0.05537    6.6420    10.385    1.5040
  618204  0.05425    6.3430    15.577    5.0800
  618220  0.05416    1.9310    7.0000    4.3940
  618226  0.06381  0.045000    0.0000   -999.90
  618246  0.05472    1.9460    6.0000    2.9980
  618285  0.05374   0.55700    0.0000    2.0530
  618337  0.05523   0.36900    0.0000    1.2220
  618349  0.05439   0.29200    0.0000   0.97900
  618373  0.05440   0.36000    0.0000    1.1270
  618421  0.06662  0.053000    0.0000   0.34800
  618420  0.06607  0.054000    0.0000   0.30800
  618476  0.06259  0.023000    0.0000   -999.90
  618515  0.06626  0.030000    0.0000   0.13500
  618581  0.07957  0.071000    0.0000   0.12400
  618582  0.05540   0.27900    0.0000    1.0190
  618650  0.05586   0.20200    0.0000    1.1710
  618866  0.05565    1.6120    3.1940    2.2210
  618906  0.05733    11.095    12.000    1.5640
  618907  0.05686    20.581    14.000    4.1470
  618905  0.05777    19.879    14.000   0.71200
  618912  0.05661    25.690    16.071    4.5950
  618914  0.05668    45.472    16.071    4.5220
  618915  0.05750    33.555    17.143    1.5650
  618928  0.05689    35.186    17.143    4.5010
  618932  0.05912    22.650    12.857  0.035000
  618929  0.05659    24.500    16.071    4.6010
  618930  0.05647    29.979    16.071    4.6560
  618931  0.05459    30.313    16.071    1.4320
  618943  0.05770    18.363    16.000   0.86400
  618947  0.05677    23.845    18.000    4.1950
  618950  0.05636    13.733    23.572    5.0550
  618952  0.05533    7.1640    19.000    3.3360
  618964  0.05528    6.9440    23.572    3.7180
  618965  0.05495    18.730    15.000    2.5260
  618988  0.05672    9.1480    20.000    4.3890
  618991  0.05581    9.0470    20.000    5.1900
  618992  0.05575    4.7240    17.500    4.6450
  618993  0.05543    3.9380    11.786    3.7960
  619013  0.05650    6.8430    21.000    4.6250
  619044  0.05499    4.9840    6.0000    2.4270
  619066  0.05532    2.7710    7.4370    2.7510
  619095  0.05343   0.75400    4.2670   0.23400
  619107  0.07279  0.060000    0.0000   0.12600
  619148  0.07953   0.35200    1.0670   0.70300
  619232  0.05275   0.11400    0.0000   0.12000
  619256  0.06860  0.017000    0.0000   -999.90
  619258  0.05788   0.49000    0.0000   0.47400
  619383  0.07291  0.075000    0.0000   0.16600
  619778  0.07292   0.20500    0.0000 0.0060000
  619896  0.07590  0.095000    0.0000   0.23400
  619898  0.07611  0.094000    0.0000   0.19400
  619937  0.05717  0.091000    1.0450   0.37200
  619940  0.05676  0.070000    0.0000   0.16000
  620012  0.05664  0.034000    0.0000   0.16300
  620053  0.06514  0.045000    1.0740   0.40900
  620150  0.06927    1.7130    0.0000   -999.90
  621925  0.07198   0.28400    0.0000   -999.90
  621932  0.05229   0.99600    0.0000   -999.90
  621984  0.07913   0.42200    2.0000    1.7420
  621988  0.07891   0.42000    2.0000    1.5540
  622006  0.07893   0.47900    0.0000    2.1680
  622038  0.07934   0.81900    1.0000    1.8930
  622037  0.07931   0.83400    2.0000    2.0850
  622075  0.07175   0.22800    1.0000   0.57800
  622142  0.07820  0.082000    0.0000   0.12900
  622145  0.05901  0.080000    0.0000   0.30600
  622208  0.05926   0.19300    3.0000   0.73800
  934474  0.05347   0.15900    0.0000   0.26100
  622228  0.05920  0.086000    2.0000   0.55600
  622304  0.06848    1.1010    3.2140   0.59600
  622329  0.07342   0.11300    0.0000   -999.90
  622400  0.07879  0.028000    0.0000  0.059000
  622596  0.05342   0.24300    1.0000   0.90400
  622633  0.05913   0.14200    0.0000   0.21900
  622641  0.05384   0.28500    2.0000    1.3190
  622662  0.07285   0.76300    0.0000    1.8270
  622694  0.05340   0.43700    0.0000    1.0170
  622700  0.07258   0.41600    0.0000    1.7270
  622770  0.05339   0.25600    1.0000    1.3440
  622768  0.07233   0.32500    2.0000    1.7250
  622787  0.07173   0.22900    1.1110    1.0710
  622788  0.07193   0.22500    1.1110    1.1500
  622850  0.07115   0.14500    0.0000   0.33000
  622909  0.07176   0.11700    0.0000   0.27400
  622913  0.05439   0.34000    0.0000    1.0340
  622932  0.05412   0.37500    0.0000   0.95300
  622978  0.07272   0.13500    1.0000  0.098000
  622997  0.07806   0.11300    2.0000   0.49700
  623004  0.07277   0.14100    1.0000  0.094000
